src,dst,dist
"v5954","v2720",49
"v5954","v4249",25
"v5954","v5955",10
"v5954","v5956",48
"v5954","v5957",35
"v5954","v5958",34
"v5954","v5959",47
"v5954","v5960",73
"v5954","v5961",42
"v5960","v544",90
"v5960","v5962",9
"v5960","v5963",20
"v5960","v5964",10
"v5960","v5965",83
"v5960","v5966",18
"v5960","v5967",93
"v5960","v5968",93
"v5960","v5969",31
"v5960","v5970",72
"v5977","v7760",45
"v5977","v9157",15
"v5977","v9158",8
"v5977","v9159",5
"v5977","v9160",54
"v5977","v9161",24
"v5977","v9162",58
"v5977","v9163",39
"v5977","v9164",47
"v5977","v9165",26
"v5989","v4539",24
"v5989","v5283",36
"v5989","v5284",43
"v5989","v7540",38
"v5989","v7541",48
"v5989","v7542",31
"v5989","v7543",43
"v5989","v7544",68
"v5989","v7545",6
"v5989","v7546",53
"v6003","v834",4
"v6003","v1006",29
"v6003","v1068",89
"v6003","v7990",83
"v6003","v8454",71
"v6003","v11942",46
"v6003","v11943",94
"v6003","v11944",23
"v6003","v11945",65
"v6003","v11946",91
"v6005","v4238",49
"v6005","v12130",13
"v6005","v24913",41
"v6005","v24914",51
"v6005","v24915",68
"v6005","v24916",68
"v6005","v24917",12
"v6005","v24918",72
"v6005","v24919",19
"v6007","v3004",27
"v6007","v5916",15
"v6007","v8088",88
"v6007","v8937",99
"v6007","v9909",91
"v6007","v24920",21
"v6007","v24921",66
"v6007","v24922",54
"v6007","v24923",98
"v6007","v24924",2
"v6008","v407",1
"v6008","v4040",79
"v6008","v4636",77
"v6008","v12864",54
"v6008","v14826",63
"v6008","v17469",25
"v6008","v18736",60
"v6008","v24925",65
"v6008","v24926",41
"v6008","v24927",68
"v6010","v9106",33
"v6010","v10027",77
"v6010","v11239",5
"v6010","v14195",49
"v6010","v14666",46
"v6010","v20015",92
"v6010","v21080",38
"v6010","v24258",41
"v6010","v24928",24
"v6010","v24929",23
"v6013","v794",93
"v6013","v3192",70
"v6013","v6123",61
"v6013","v9327",55
"v6013","v9328",42
"v6013","v9329",98
"v6013","v9330",26
"v6013","v9331",43
"v6013","v9332",78
"v6013","v9333",21
"v6016","v343",90
"v6016","v6075",66
"v6016","v8485",11
"v6016","v9341",78
"v6016","v9342",22
"v6016","v9343",60
"v6016","v9344",88
"v6016","v9345",39
"v6016","v9346",77
"v6016","v9347",12
"v6017","v9199",76
"v6017","v9348",33
"v6017","v9349",21
"v6017","v9350",98
"v6017","v9351",71
"v6017","v9352",10
"v6017","v9353",1
"v6017","v9354",86
"v6017","v9355",10
"v6017","v9356",25
"v6033","v2300",86
"v6033","v2580",20
"v6033","v4672",9
"v6033","v4673",19
"v6033","v6308",51
"v6033","v6309",64
"v6033","v6310",25
"v6033","v6311",23
"v6033","v6312",51
"v6033","v6313",72
"v6042","v266",81
"v6042","v275",47
"v6042","v1718",44
"v6042","v4754",71
"v6042","v6043",83
"v6042","v6044",49
"v6042","v6045",6
"v6042","v6046",7
"v6042","v6047",89
"v6042","v6048",96
"v6047","v3232",32
"v6047","v3233",32
"v6047","v3234",25
"v6047","v3235",15
"v6047","v6049",76
"v6047","v6050",20
"v6047","v6051",87
"v6047","v6052",40
"v6047","v6053",42
"v6047","v6054",40
"v6055","v804",13
"v6055","v1775",66
"v6055","v1777",18
"v6055","v1778",5
"v6055","v1988",2
"v6055","v2834",67
"v6055","v3615",88
"v6055","v4216",65
"v6055","v5149",74
"v6055","v6063",91
"v6061","v2272",47
"v6061","v4332",87
"v6061","v5530",40
"v6061","v6071",32
"v6061","v6072",45
"v6061","v6073",22
"v6061","v6074",63
"v6061","v6075",82
"v6061","v6076",58
"v6062","v1755",1
"v6062","v2382",51
"v6062","v2387",38
"v6062","v4543",66
"v6062","v4544",46
"v6062","v4630",65
"v6062","v6077",25
"v6062","v6078",70
"v6062","v6079",55
"v6062","v6080",13
"v6063","v850",61
"v6063","v8979",10
"v6063","v10408",85
"v6063","v12538",76
"v6063","v12539",12
"v6063","v12540",79
"v6063","v12541",77
"v6063","v12542",79
"v6063","v12543",3
"v6063","v12544",80
"v6064","v1860",69
"v6064","v4631",21
"v6064","v5595",81
"v6064","v6632",1
"v6064","v6633",75
"v6064","v6634",15
"v6064","v6635",41
"v6064","v6636",3
"v6064","v6637",70
"v6064","v6638",24
"v6067","v2433",70
"v6067","v6945",92
"v6067","v6946",74
"v6067","v6947",93
"v6067","v6948",35
"v6067","v6949",17
"v6067","v6950",38
"v6067","v6951",33
"v6067","v6952",98
"v6069","v6953",2
"v6069","v6954",56
"v6069","v6955",73
"v6069","v6956",87
"v6069","v6957",99
"v6069","v6958",28
"v6069","v6959",64
"v6069","v6960",46
"v6069","v6961",82
"v6069","v6962",87
"v6071","v5514",52
"v6071","v6260",76
"v6071","v7298",84
"v6071","v7299",82
"v6071","v7300",24
"v6071","v7301",55
"v6071","v7302",80
"v6071","v7303",18
"v6071","v7304",79
"v6071","v7305",34
"v6077","v339",12
"v6077","v341",88
"v6077","v6884",15
"v6077","v7121",60
"v6077","v7122",18
"v6077","v7123",94
"v6077","v7124",79
"v6077","v7125",17
"v6077","v7126",8
"v6077","v7127",87
"v6078","v1191",94
"v6078","v1885",3
"v6078","v2727",78
"v6078","v6180",28
"v6078","v8207",39
"v6078","v8208",8
"v6078","v8209",98
"v6078","v8210",3
"v6078","v8211",73
"v6079","v540",86
"v6079","v1196",96
"v6079","v8216",35
"v6079","v8217",55
"v6079","v8218",20
"v6079","v8219",15
"v6079","v8220",66
"v6079","v8221",23
"v6079","v8222",82
"v6079","v8223",96
"v6080","v1444",15
"v6080","v2094",60
"v6080","v3227",6
"v6080","v8225",35
"v6080","v8226",48
"v6080","v8227",42
"v6080","v8228",95
"v6080","v8229",97
"v6080","v8230",26
"v6080","v8231",51
"v6081","v4965",51
"v6081","v6082",8
"v6081","v6083",88
"v6081","v6084",25
"v6081","v6085",48
"v6081","v6086",72
"v6081","v6087",27
"v6081","v6088",15
"v6081","v6089",92
"v6091","v2370",27
"v6091","v5311",100
"v6091","v14733",45
"v6091","v14734",25
"v6091","v14735",73
"v6091","v14736",5
"v6091","v14737",40
"v6091","v14738",8
"v6091","v14739",80
"v6091","v14740",10
"v6093","v1554",1
"v6093","v7319",47
"v6093","v14741",32
"v6093","v14742",40
"v6093","v14743",82
"v6093","v14744",90
"v6093","v14745",22
"v6093","v14746",52
"v6093","v14747",2
"v6093","v14748",78
"v6094","v2438",11
"v6094","v6095",91
"v6094","v6096",8
"v6094","v6097",40
"v6094","v6098",99
"v6094","v6099",23
"v6094","v6100",71
"v6094","v6101",77
"v6094","v6102",16
"v6094","v6103",48
"v6097","v1487",89
"v6097","v6104",52
"v6097","v6105",64
"v6097","v6106",89
"v6097","v6107",89
"v6097","v6108",100
"v6097","v6109",67
"v6097","v6110",11
"v6097","v6111",99
"v6097","v6112",88
"v6098","v5254",35
"v6098","v6113",73
"v6098","v6114",87
"v6098","v6115",71
"v6098","v6116",61
"v6098","v6117",15
"v6098","v6118",21
"v6098","v6119",10
"v6098","v6120",48
"v6098","v6121",86
"v6098","v6122",21
"v6098","v6123",75
"v6098","v6124",41
"v6098","v6125",23
"v6098","v6126",47
"v6098","v6127",67
"v6103","v1057",1
"v6103","v5048",66
"v6103","v6128",45
"v6103","v6129",55
"v6103","v6130",17
"v6103","v6131",100
"v6103","v6132",25
"v6103","v6133",38
"v6103","v6134",30
"v6103","v6135",32
"v6105","v785",32
"v6105","v866",43
"v6105","v4720",18
"v6105","v4737",25
"v6105","v8947",43
"v6105","v12316",35
"v6105","v12317",8
"v6105","v13130",44
"v6105","v16424",29
"v6112","v8016",45
"v6112","v11043",65
"v6112","v12099",53
"v6112","v12332",9
"v6112","v17074",46
"v6112","v18664",9
"v6112","v18665",66
"v6112","v18666",1
"v6112","v18667",55
"v6112","v18668",50
"v6118","v4628",24
"v6118","v5583",14
"v6118","v9504",8
"v6118","v11889",71
"v6118","v14752",39
"v6118","v14753",34
"v6118","v14754",32
"v6118","v14755",54
"v6118","v14756",34
"v6118","v14757",25
"v6119","v5426",4
"v6119","v7152",100
"v6119","v14758",10
"v6119","v14759",46
"v6119","v14760",75
"v6119","v14761",67
"v6119","v14762",77
"v6119","v14763",51
"v6119","v14764",31
"v6119","v14765",32
"v6128","v14455",38
"v6128","v14456",19
"v6129","v1747",52
"v6129","v7885",79
"v6129","v13921",45
"v6129","v16823",11
"v6129","v16824",68
"v6129","v16825",75
"v6129","v16826",38
"v6129","v16827",21
"v6129","v16828",20
"v6133","v16829",47
"v6134","v801",63
"v6134","v1194",42
"v6134","v1267",58
"v6134","v1793",9
"v6134","v5728",68
"v6134","v9418",72
"v6134","v9564",9
"v6134","v10517",59
"v6134","v16830",55
"v6134","v16831",95
"v6136","v6137",18
"v6136","v6138",81
"v6136","v6139",83
"v6136","v6140",61
"v6136","v6141",12
"v6136","v6142",61
"v6136","v6143",60
"v6136","v6144",93
"v6136","v6145",38
"v6136","v6146",79
"v6149","v799",59
"v6149","v5300",62
"v6149","v5632",26
"v6149","v8309",97
"v6149","v9043",57
"v6149","v12957",1
"v6149","v12958",17
"v6149","v12959",84
"v6149","v12960",74
"v6149","v12961",3
"v6151","v1445",10
"v6151","v1679",73
"v6151","v4821",15
"v6151","v12962",66
"v6151","v12963",51
"v6151","v12964",86
"v6151","v12965",21
"v6151","v12966",75
"v6151","v12967",83
"v6151","v12968",58
"v6155","v747",63
"v6155","v4551",34
"v6155","v7004",70
"v6155","v11432",76
"v6155","v11614",62
"v6155","v13010",100
"v6155","v13011",49
"v6155","v13012",67
"v6155","v13013",66
"v6157","v1011",88
"v6157","v3977",68
"v6157","v5980",80
"v6157","v9545",92
"v6157","v12000",43
"v6157","v13390",17
"v6157","v14208",12
"v6157","v14209",24
"v6157","v14210",95
"v6157","v14211",11
"v6162","v11050",30
"v6162","v11051",83
"v6162","v11052",51
"v6162","v11053",11
"v6162","v11054",97
"v6162","v11055",17
"v6162","v11056",33
"v6162","v11057",13
"v6162","v11058",96
"v6163","v2747",56
"v6163","v5702",42
"v6163","v6303",4
"v6163","v6330",63
"v6163","v11519",8
"v6163","v11520",53
"v6163","v11521",54
"v6163","v11522",42
"v6163","v11523",34
"v6163","v11524",52
"v6164","v736",96
"v6164","v2327",81
"v6164","v3130",71
"v6164","v3193",22
"v6164","v3194",87
"v6164","v3196",49
"v6164","v11004",39
"v6164","v14097",89
"v6164","v16594",65
"v6164","v16595",70
"v6165","v559",6
"v6165","v1318",41
"v6165","v1988",67
"v6165","v2030",46
"v6165","v2031",46
"v6165","v2032",70
"v6165","v2033",30
"v6165","v2430",77
"v6165","v2431",65
"v6165","v4227",22
"v6169","v1790",22
"v6169","v6153",3
"v6169","v6882",80
"v6169","v13438",93
"v6169","v16191",31
"v6169","v16192",10
"v6169","v16193",38
"v6169","v16194",18
"v6169","v16195",72
"v6170","v2369",22
"v6170","v6171",5
"v6170","v6172",11
"v6170","v6173",97
"v6170","v6174",15
"v6170","v6175",11
"v6170","v6176",52
"v6170","v6177",90
"v6170","v6178",20
"v6170","v6179",18
"v6175","v801",31
"v6175","v1076",94
"v6175","v5190",21
"v6175","v6180",2
"v6175","v6181",73
"v6175","v6182",72
"v6175","v6183",33
"v6175","v6184",79
"v6175","v6185",48
"v6175","v6186",5
"v6178","v6187",14
"v6178","v6188",25
"v6178","v6189",50
"v6178","v6190",17
"v6178","v6191",13
"v6178","v6192",28
"v6178","v6193",64
"v6178","v6194",78
"v6178","v6195",17
"v6179","v2667",99
"v6179","v3308",10
"v6179","v4635",100
"v6179","v6196",31
"v6179","v6197",92
"v6179","v6198",90
"v6179","v6199",47
"v6179","v6200",58
"v6179","v6201",68
"v6179","v6202",78
"v6180","v1217",87
"v6180","v9114",14
"v6180","v9115",46
"v6180","v9116",24
"v6180","v9117",62
"v6180","v9118",76
"v6180","v9119",48
"v6180","v9120",41
"v6180","v9121",44
"v6180","v9122",95
"v6184","v4918",18
"v6184","v11079",37
"v6184","v11161",21
"v6184","v18959",85
"v6184","v18960",59
"v6184","v18961",89
"v6184","v18962",41
"v6184","v18963",15
"v6184","v18964",39
"v6184","v18965",13
"v6185","v1042",47
"v6185","v2370",82
"v6185","v2373",17
"v6185","v3094",62
"v6185","v4369",54
"v6185","v4370",23
"v6185","v7448",30
"v6185","v8068",42
"v6185","v14213",65
"v6185","v18966",21
"v6186","v18967",96
"v6190","v1109",72
"v6190","v2562",15
"v6190","v5101",48
"v6190","v7860",86
"v6190","v7861",30
"v6190","v7862",38
"v6190","v7863",16
"v6190","v7864",58
"v6190","v7865",34
"v6190","v7866",95
"v6190","v7867",92
"v6190","v7868",11
"v6190","v7869",20
"v6190","v7870",46
"v6197","v756",73
"v6197","v2899",49
"v6197","v4740",20
"v6197","v7326",24
"v6197","v9498",62
"v6197","v12191",50
"v6197","v12192",69
"v6197","v12193",62
"v6197","v12194",44
"v6200","v3587",81
"v6200","v6889",87
"v6200","v7382",65
"v6200","v12195",64
"v6200","v12196",36
"v6200","v12197",69
"v6200","v12198",7
"v6200","v12199",78
"v6200","v12200",23
"v6200","v12201",22
"v6203","v618",18
"v6203","v3004",52
"v6203","v3962",85
"v6203","v6381",31
"v6203","v6382",12
"v6203","v6383",15
"v6203","v6384",12
"v6203","v6385",78
"v6203","v6386",47
"v6203","v6387",94
"v6204","v3500",7
"v6204","v5939",47
"v6204","v6581",56
"v6204","v7336",91
"v6204","v7337",28
"v6204","v14361",76
"v6204","v14535",18
"v6204","v15056",41
"v6204","v15057",18
"v6204","v15058",41
"v6206","v8869",32
"v6206","v11295",91
"v6206","v15059",14
"v6206","v15060",48
"v6206","v15061",95
"v6206","v15062",85
"v6206","v15063",14
"v6206","v15064",38
"v6206","v15065",19
"v6206","v15066",35
"v6208","v32",34
"v6208","v1249",48
"v6208","v3076",42
"v6208","v15074",31
"v6208","v15075",44
"v6208","v15076",54
"v6208","v15077",69
"v6208","v15078",18
"v6208","v15079",1
"v6209","v5928",19
"v6209","v6686",85
"v6209","v14551",72
"v6209","v15080",40
"v6209","v15081",87
"v6209","v15082",80
"v6209","v15083",49
"v6209","v15084",29
"v6209","v15085",47
"v6211","v194",1
"v6211","v5021",1
"v6211","v21922",32
"v6211","v27384",67
"v6211","v31573",19
"v6211","v32560",3
"v6211","v32561",78
"v6211","v32562",35
"v6211","v32563",88
"v6243","v4439",88
"v6243","v7817",18
"v6243","v19663",35
"v6243","v29577",72
"v6243","v30003",57
"v6243","v31735",50
"v6243","v33215",74
"v6243","v35401",37
"v6243","v35402",35
"v6243","v35403",75
"v6244","v35404",49
"v6247","v148",73
"v6247","v519",90
"v6247","v15159",59
"v6247","v25020",24
"v6247","v25021",30
"v6247","v25022",60
"v6247","v25023",58
"v6247","v25024",53
"v6247","v25025",70
"v6247","v25026",38
"v6250","v2358",26
"v6250","v19977",20
"v6250","v21318",95
"v6250","v29878",5
"v6250","v29879",69
"v6250","v29880",9
"v6250","v29881",54
"v6250","v29882",48
"v6250","v29883",44
"v6250","v29884",44
"v6251","v29885",25
"v6255","v423",60
"v6255","v2512",94
"v6255","v5383",81
"v6255","v7897",10
"v6255","v8860",36
"v6255","v14710",88
"v6255","v14711",98
"v6255","v14712",25
"v6255","v14713",99
"v6255","v14714",90
"v6261","v5702",27
"v6261","v13224",40
"v6261","v25415",52
"v6261","v25416",60
"v6261","v25417",62
"v6261","v25418",39
"v6261","v25419",33
"v6261","v25420",26
"v6261","v25421",96
"v6263","v413",98
"v6263","v6264",99
"v6282","v1232",74
"v6282","v14225",22
"v6282","v14537",26
"v6282","v14538",64
"v6282","v14539",60
"v6282","v14540",22
"v6282","v14541",49
"v6282","v14542",17
"v6282","v14543",87
"v6282","v14544",91
"v6284","v7183",23
"v6284","v12859",88
"v6284","v24096",33
"v6284","v26689",80
"v6284","v26690",54
"v6284","v26691",64
"v6285","v21881",34
"v6285","v22932",92
"v6285","v25390",18
"v6285","v29427",6
"v6285","v29428",59
"v6285","v29429",84
"v6285","v29430",1
"v6285","v29431",2
"v6285","v29432",51
"v6285","v29433",62
"v6287","v2780",25
"v6287","v12073",8
"v6287","v12881",54
"v6287","v15533",28
"v6287","v15875",93
"v6287","v18897",90
"v6287","v25914",91
"v6287","v29929",12
"v6287","v36932",67
"v6287","v38288",71
"v6292","v1148",15
"v6292","v3066",8
"v6292","v3264",56
"v6292","v10111",7
"v6292","v10859",98
"v6292","v10860",40
"v6292","v10861",47
"v6292","v10862",20
"v6292","v10863",84
"v6292","v10864",55
"v6294","v735",69
"v6294","v736",5
"v6294","v738",15
"v6294","v741",61
"v6294","v744",3
"v6294","v1041",49
"v6294","v5649",79
"v6294","v5650",60
"v6294","v5767",80
"v6294","v9581",92
"v6299","v2717",87
"v6299","v3633",50
"v6299","v3800",91
"v6299","v3805",12
"v6299","v7532",24
"v6299","v10865",43
"v6299","v10866",41
"v6299","v10867",31
"v6299","v10868",82
"v6299","v10869",72
"v6318","v12324",6
"v6318","v19424",95
"v6318","v19425",87
"v6318","v19426",26
"v6318","v19427",85
"v6318","v19428",78
"v6318","v19429",98
"v6321","v6207",11
"v6321","v13192",87
"v6321","v19430",80
"v6321","v19431",23
"v6321","v19432",1
"v6321","v19433",41
"v6321","v19434",7
"v6321","v19435",9
"v6321","v19436",28
"v6321","v19437",81
"v6323","v214",98
"v6323","v8374",32
"v6323","v8375",8
"v6323","v8376",8
"v6323","v8377",83
"v6323","v8378",80
"v6323","v8379",90
"v6323","v8380",18
"v6323","v8381",63
"v6329","v428",19
"v6329","v429",21
"v6329","v430",53
"v6329","v4879",71
"v6329","v4881",55
"v6329","v8382",3
"v6329","v8383",48
"v6329","v8384",41
"v6329","v8385",17
"v6329","v8386",30
"v6331","v375",23
"v6331","v3055",70
"v6331","v4188",66
"v6331","v4995",50
"v6331","v5119",41
"v6331","v5288",55
"v6331","v6332",99
"v6331","v6333",85
"v6331","v6334",87
"v6331","v6335",11
"v6332","v1248",8
"v6332","v3828",5
"v6332","v5369",42
"v6332","v5371",12
"v6332","v5372",33
"v6332","v6336",23
"v6332","v6337",25
"v6332","v6338",89
"v6332","v6339",14
"v6332","v6340",34
"v6333","v3119",27
"v6333","v5190",53
"v6333","v6341",98
"v6333","v6342",43
"v6333","v6343",60
"v6333","v6344",31
"v6333","v6345",13
"v6333","v6346",3
"v6333","v6347",30
"v6333","v6348",30
"v6335","v198",52
"v6335","v2337",1
"v6335","v6351",3
"v6335","v6352",61
"v6335","v6353",95
"v6335","v6354",96
"v6335","v6355",94
"v6335","v6356",78
"v6335","v6357",34
"v6336","v4079",89
"v6336","v5794",69
"v6336","v8673",10
"v6336","v11622",30
"v6336","v13943",88
"v6336","v13944",6
"v6336","v13945",54
"v6336","v13946",82
"v6336","v13947",82
"v6336","v13948",41
"v6337","v5682",39
"v6337","v10319",36
"v6337","v15664",25
"v6337","v17131",10
"v6337","v20534",34
"v6337","v20535",23
"v6337","v20536",53
"v6337","v20537",47
"v6340","v6487",92
"v6340","v11154",51
"v6340","v16286",79
"v6340","v21639",7
"v6340","v21640",88
"v6340","v21641",50
"v6340","v21642",13
"v6340","v21643",10
"v6340","v21644",49
"v6340","v21645",87
"v6349","v2862",16
"v6349","v6731",71
"v6349","v12655",86
"v6349","v14368",46
"v6349","v17281",11
"v6349","v17282",98
"v6349","v17283",41
"v6349","v17284",74
"v6349","v17285",59
"v6349","v17286",49
"v6352","v1121",36
"v6352","v5708",53
"v6352","v9903",41
"v6352","v9904",55
"v6352","v9905",88
"v6352","v9906",79
"v6352","v9907",54
"v6352","v9908",49
"v6352","v9909",21
"v6352","v9910",53
"v6355","v2837",3
"v6355","v4407",22
"v6355","v4409",5
"v6355","v4410",42
"v6355","v4411",6
"v6355","v4412",51
"v6355","v4623",66
"v6355","v9252",81
"v6355","v9911",50
"v6355","v9912",55
"v6358","v1466",54
"v6358","v1928",17
"v6358","v6359",76
"v6358","v6360",41
"v6358","v6361",51
"v6358","v6362",13
"v6358","v6363",23
"v6358","v6364",46
"v6358","v6365",57
"v6358","v6366",95
"v6359","v227",38
"v6359","v6367",1
"v6359","v6368",29
"v6359","v6369",74
"v6359","v6370",24
"v6359","v6371",10
"v6359","v6372",89
"v6359","v6373",22
"v6359","v6374",59
"v6359","v6375",7
"v6363","v442",5
"v6363","v1604",36
"v6363","v1605",55
"v6363","v1609",13
"v6363","v1812",33
"v6363","v2274",83
"v6363","v2433",71
"v6363","v3871",95
"v6363","v4924",6
"v6363","v6376",66
"v6365","v6377",56
"v6368","v1695",59
"v6368","v24311",79
"v6368","v24312",24
"v6368","v24313",50
"v6368","v24314",94
"v6368","v24315",15
"v6368","v24316",66
"v6368","v24317",48
"v6368","v24318",42
"v6368","v24319",47
"v6378","v6203",30
"v6378","v6379",53
"v6378","v6380",72
"v6388","v3578",85
"v6388","v6389",65
"v6388","v6390",81
"v6388","v6391",31
"v6388","v6392",25
"v6388","v6393",32
"v6388","v6394",26
"v6388","v6395",48
"v6388","v6396",41
"v6388","v6397",41
"v6396","v1693",3
"v6396","v2976",33
"v6396","v6398",24
"v6396","v6399",54
"v6396","v6400",70
"v6396","v6401",49
"v6396","v6402",92
"v6396","v6403",44
"v6396","v6404",78
"v6396","v6405",34
"v6399","v1294",55
"v6399","v1299",96
"v6399","v5259",76
"v6399","v5630",1
"v6399","v7004",74
"v6399","v7005",43
"v6399","v7006",54
"v6399","v7007",82
"v6399","v7008",88
"v6399","v7009",55
"v6410","v10836",56
"v6410","v15361",67
"v6413","v255",58
"v6413","v262",26
"v6413","v439",77
"v6413","v3615",24
"v6413","v4010",73
"v6413","v7560",77
"v6413","v9449",73
"v6413","v9450",62
"v6413","v9451",98
"v6413","v9452",65
"v6420","v443",8
"v6420","v549",72
"v6420","v555",31
"v6420","v565",20
"v6420","v11970",57
"v6420","v26792",66
"v6420","v26793",80
"v6420","v26794",25
"v6420","v26795",91
"v6420","v26796",21
"v6425","v1205",12
"v6425","v7205",32
"v6425","v7749",77
"v6425","v27984",13
"v6425","v33620",43
"v6425","v35837",61
"v6425","v35838",32
"v6425","v35839",86
"v6425","v35840",4
"v6425","v35841",6
"v6429","v2640",90
"v6429","v15039",36
"v6429","v21971",48
"v6429","v29089",100
"v6429","v29090",83
"v6429","v29091",5
"v6429","v29092",16
"v6429","v29093",80
"v6429","v29094",18
"v6429","v29095",74
"v6437","v2695",76
"v6437","v23482",73
"v6437","v26709",87
"v6437","v27391",49
"v6437","v40344",70
"v6437","v46225",10
"v6437","v46226",46
"v6437","v46227",36
"v6437","v46228",64
"v6442","v6443",72
"v6442","v6444",89
"v6442","v6445",78
"v6442","v6446",99
"v6442","v6447",63
"v6442","v6448",62
"v6442","v6449",70
"v6442","v6450",20
"v6442","v6451",76
"v6442","v6452",74
"v6444","v2352",16
"v6444","v4869",55
"v6444","v6453",64
"v6444","v6454",21
"v6444","v6455",31
"v6444","v6456",29
"v6444","v6457",24
"v6444","v6458",90
"v6444","v6459",44
"v6444","v6460",13
"v6444","v6461",96
"v6444","v6462",59
"v6444","v6463",43
"v6444","v6464",42
"v6444","v6465",35
"v6444","v6466",25
"v6444","v6467",82
"v6444","v6468",38
"v6444","v6469",80
"v6444","v6470",14
"v6451","v450",97
"v6451","v1951",40
"v6451","v2685",12
"v6451","v2750",55
"v6451","v2756",25
"v6451","v3321",48
"v6451","v4101",16
"v6451","v4102",78
"v6451","v5638",83
"v6451","v6062",16
"v6451","v6471",33
"v6451","v6472",16
"v6451","v6473",78
"v6451","v6474",11
"v6451","v6475",96
"v6451","v6476",99
"v6451","v6477",32
"v6451","v6478",97
"v6451","v6479",36
"v6451","v6480",10
"v6451","v6481",42
"v6451","v6482",92
"v6451","v6483",73
"v6451","v6484",38
"v6451","v6485",33
"v6451","v6486",52
"v6452","v6487",2
"v6452","v6488",96
"v6452","v6489",92
"v6452","v6490",9
"v6452","v6491",72
"v6452","v6492",6
"v6452","v6493",53
"v6452","v6494",45
"v6452","v6495",13
"v6464","v1553",82
"v6464","v3519",6
"v6464","v11642",20
"v6464","v16838",46
"v6464","v16839",55
"v6464","v16840",95
"v6464","v16841",50
"v6464","v16842",53
"v6464","v16843",84
"v6464","v16844",19
"v6476","v6406",72
"v6476","v10054",77
"v6476","v10263",57
"v6476","v17953",20
"v6476","v17954",26
"v6476","v17955",62
"v6476","v17956",67
"v6476","v17957",68
"v6477","v5979",83
"v6477","v13462",55
"v6477","v17958",23
"v6477","v17959",29
"v6477","v17960",3
"v6477","v17961",100
"v6477","v17962",56
"v6477","v17963",7
"v6477","v17964",57
"v6486","v541",43
"v6486","v3295",87
"v6486","v5468",58
"v6486","v15129",6
"v6486","v16014",41
"v6486","v17965",41
"v6486","v17966",17
"v6486","v17967",38
"v6486","v17968",85
"v6486","v17969",50
"v6487","v792",6
"v6487","v1547",3
"v6487","v2295",59
"v6487","v6963",38
"v6487","v6964",55
"v6487","v6965",75
"v6487","v6966",69
"v6487","v6967",89
"v6487","v6968",85
"v6487","v6969",62
"v6489","v2163",91
"v6489","v7618",30
"v6489","v13462",23
"v6489","v14847",15
"v6489","v18349",46
"v6489","v28645",32
"v6489","v28646",44
"v6489","v28647",62
"v6489","v28648",62
"v6489","v28649",35
"v6490","v8669",49
"v6490","v13463",5
"v6490","v24628",71
"v6490","v27690",9
"v6490","v29361",20
"v6490","v38235",15
"v6490","v38236",42
"v6490","v38237",89
"v6490","v38238",31
"v6490","v38239",65
"v6495","v6494",64
"v6495","v58152",22
"v6495","v58902",87
"v6496","v1001",99
"v6496","v4693",14
"v6496","v4781",63
"v6496","v5471",79
"v6496","v5472",7
"v6496","v6071",41
"v6496","v6209",43
"v6496","v10304",34
"v6496","v10305",32
"v6496","v10306",15
"v6497","v3341",32
"v6497","v4814",52
"v6497","v8300",25
"v6497","v12414",99
"v6497","v12415",77
"v6497","v12416",95
"v6497","v12417",5
"v6497","v12418",25
"v6497","v12419",92
"v6497","v12420",59
"v6500","v13919",17
"v6500","v13920",67
"v6502","v1108",22
"v6502","v1988",30
"v6502","v6881",40
"v6502","v12224",89
"v6502","v13921",2
"v6502","v13922",27
"v6502","v13923",78
"v6502","v13924",60
"v6502","v13925",96
"v6502","v13926",75
"v6508","v3507",72
"v6508","v6528",17
"v6508","v6529",43
"v6508","v6530",63
"v6508","v6531",11
"v6508","v6532",52
"v6508","v6533",80
"v6509","v2051",86
"v6509","v6534",71
"v6509","v6535",99
"v6509","v6536",32
"v6509","v6537",6
"v6509","v6538",79
"v6509","v6539",12
"v6509","v6540",31
"v6509","v6541",93
"v6509","v6542",16
"v6513","v540",64
"v6513","v547",43
"v6513","v1195",8
"v6513","v1196",23
"v6513","v3033",19
"v6513","v3579",29
"v6513","v6180",18
"v6513","v6543",87
"v6513","v6544",24
"v6513","v6545",41
"v6519","v2164",39
"v6519","v3137",1
"v6519","v12996",89
"v6519","v22479",28
"v6519","v22721",73
"v6519","v22722",77
"v6519","v22723",86
"v6519","v22724",51
"v6519","v22725",10
"v6519","v22726",76
"v6528","v1819",23
"v6528","v13407",64
"v6528","v14223",14
"v6528","v14224",12
"v6528","v14225",54
"v6528","v14226",53
"v6528","v14227",73
"v6528","v14228",62
"v6528","v14229",31
"v6528","v14230",80
"v6530","v882",25
"v6530","v16096",85
"v6530","v17814",82
"v6530","v19773",36
"v6530","v19774",46
"v6530","v19775",32
"v6530","v19776",54
"v6530","v19777",32
"v6530","v19778",26
"v6530","v19779",20
"v6531","v11428",83
"v6533","v201",53
"v6533","v1597",85
"v6533","v2362",22
"v6533","v3057",56
"v6533","v3393",51
"v6533","v7355",52
"v6533","v10271",57
"v6533","v13675",10
"v6533","v13676",67
"v6533","v13677",80
"v6534","v234",83
"v6534","v1087",62
"v6534","v1634",59
"v6534","v7393",90
"v6534","v7394",78
"v6534","v7395",15
"v6534","v7396",68
